,Reviews
16,like phone dex dex allows use samsung phone hdmi inputs monitors tv screens would primary phone needs flip kind gimicky imo like use rear camera selfies folded flip mode takes good photos backup photos usb c memory stick needed memory card option although 256k internal memory awaiting high quality skin front screen also rear order amz got phone two year added line carrier monthly rate plan like phone payment brainer complain price wa h sure worth 1k retail better primary phones imo purchased great amazon padded holster type case loops belt padded would highly recommend also got case protects rear hinge texture makes less slippery yet protected falls closed ideally phone leave grip use disliking nosy permissions disabled certain apps like camera come samsung google etc stop spying us selling souls strangers prefer sony xperia mark photos itrusions sony imo makes highest quality phones perhaps trailing software area compared samapple
17,got mine verizon overall great phone know people touched one want talk
18,title suggests experience samsung galaxy z flip4 ideal like people experienced short battery life despite larger battery claims power efficient chipset latest iteration flip series least experienced started randomly power cycling straight turning battery charge remaining usb port started rejecting cables anything charging even though worked fine samsung galaxy s20 fe replaced flip4 still worked devices data transfer happened within two weeks receiving device things genuinely like flip ability start stop playback audiobooks without open device turn main screen brilliant leave desk work bluetooth earbuds stop start moment hassles new chipset much greater ability maintain stable 5g data connection previous phone vital ability fold use camera feels great use shame bad experience hardware might change mind future right would recommend phone far expensive shortcomings apparently delicate
19,reason screen fold made soft plastic put another layer slightly harder plastic top base screen protect scratches harder screen protector layer folded months starts peel crack would fine samsung possible way replace crease need special machine reapply new protector handful places united states necessary equipment live cities us luck contact fix might let ship days get repaired due common theyve recently stopped acknowledging damage design problem longer covered warranty pay like get replaced every months phone days really frustrating otherwise great phone ruined terrible support samsung wish never bought
20,like really big fan s10 replaced sometimes big screen pen really handy like play games sort nifty stuff xbox controllers pc phone combined interested battery drains kinda fast big screen watching videos etc issues bend middle people say even see bs ing notice brightness huge deal looking something mono colored dark pretty obvious still phone opens tablet pretty cool pretty tech savvy still know get whole dual left right screen thing also certain apps close reset unfold ig watching video think wanna see bigger unfold gone probably never find
21,device perfect using even short never go back would great competition space ask less bulk divot middle sharp break crease would preferred maybe built pen like galaxy note
22,reviews made wary making big purchase experience awesome last 2weeks bought case camera lens cover stylus phone compared old iphone camera quality great voice clarity better battery life adequate medium user battery left end day charging fast modern tech rugged hence case cash spend definitely buy stars
23,funcionaba muy bien pero después de unos updates el teléfono empezó laguearse usar mucha memoria lo compre prácticamente para jugar runescape3 ahora se laguea solo con moverte la primera vez que veo que un teléfono caro pueda mover ese juego lo recomiendo mejor compren un s22 ultra la tablet s8 ultra seria mejor inversión sin tanto slowdown worked well updates phone started lag using lot memory bought practically play runescape3 lags moving first time see expensive phone move game recommend better buy s22 ultra s8 ultra tablet would better investment without much slowdown
24,foldable phones disposable take word google stress fractures factory installed screen protectors falling months basically folding screen fail less year carrier says need contact samsung offer let send phone repair indefinitely drive service center spend day fix sell garbage product know fail intentionally give poor support hoping give stay away
25,absolute fan samsung failed folds got overwhelmed returns defaulted drop ball customers lame excuses customers screen misused pealing average folds last 3month
26,like really big fan s10 replaced sometimes big screen pen really handy like play games sort nifty stuff xbox controllers pc phone combined interested battery drains kinda fast big screen watching videos etc issues bend middle people say even see bs ing notice brightness huge deal looking something mono colored dark pretty obvious still phone opens tablet pretty cool pretty tech savvy still know get whole dual left right screen thing also certain apps close reset unfold ig watching video think wanna see bigger unfold gone probably never find
27,device perfect using even short never go back would great competition space ask less bulk divot middle sharp break crease would preferred maybe built pen like galaxy note
28,reviews made wary making big purchase experience awesome last 2weeks bought case camera lens cover stylus phone compared old iphone camera quality great voice clarity better battery life adequate medium user battery left end day charging fast modern tech rugged hence case cash spend definitely buy stars
29,funcionaba muy bien pero después de unos updates el teléfono empezó laguearse usar mucha memoria lo compre prácticamente para jugar runescape3 ahora se laguea solo con moverte la primera vez que veo que un teléfono caro pueda mover ese juego lo recomiendo mejor compren un s22 ultra la tablet s8 ultra seria mejor inversión sin tanto slowdown worked well updates phone started lag using lot memory bought practically play runescape3 lags moving first time see expensive phone move game recommend better buy s22 ultra s8 ultra tablet would better investment without much slowdown
30,foldable phones disposable take word google stress fractures factory installed screen protectors falling months basically folding screen fail less year carrier says need contact samsung offer let send phone repair indefinitely drive service center spend day fix sell garbage product know fail intentionally give poor support hoping give stay away
31,absolute fan samsung failed folds got overwhelmed returns defaulted drop ball customers lame excuses customers screen misused pealing average folds last 3month
32,looking mount could film without somebody works perfect stand want mount object
33,love thing sony zv10 since camera smaller end makes feel secure holding also gives distance need selfies since camera crops little video
34,daily youtube vloggers use iphones gopros every day i’ve tried ruined many many many tripods legs always break hunt durable one saw lightning deal mini version bought others broke course far best tripod we’ve ever used purchased five fotopro tripods lol one keep car phones one gopros dumpster divers love thick handheld monopod strong excellent grip tripod washable nonporous easy use doesn’t slip pocket much stable tripod we’ve tried love recommend enough yet try remote don’t use one love tripod
35,love small worked great asia trip fitted gopro camera pandemic used phone calls also used microphone theater works perfectly without moving attached place really recommend
36,little tripod life saver stands perfect level laptop use dslr webcam zoom meetings like legs bend wrap around chairs etc make work pinch great works phone canon camera deducted star wish way keep legs stable move camera side side follow moving object also legs stable part they’re perfectly positioned weight camera tip camera almost crashed hard ground filming seminar thankfully caught seminar interrupted overall though pleased product would recommend
37,needed way shoot xxx looking angel use top bed post using camcorder works perfect
38,i’m obsessed little tripod skeptical buying… one wants put equipment tripod breaks i’m soo pleased sturdy strong little guy use tripod literally anywhere favorite tripod ever buy
39,el tripode esta muy bonito se nota que es el diseño original por la calidad del materia raya las superficies es suave al tacto para los niños esta muy bien ya que difícilmente se golpean al agarrarlo por su tamaño es muy versatil cabe en cualquier lugar se puede usar muy bien en la cama en la cocina la hora de cocinar lo único negativo que tiene es que esta diseñado para colocar el celular en modo landscape sea acostado si deseas colocarlo de foma vertical como es lo natural al momento de usar el teléfono debes retorcer las patas para obtener esa posición fin de cuentas si se logra pero el tripode queda en una posición extraña ocupando mas espacio del normal es lo único que cambiaría quizás si agregaran una cabeza para colocarlo vertical sería mejor yo descubierto como hacerlo te lo recomiendo
40,buy extremely cheap screws stay tight holds phone landscape mode portrait mode try sell ufo design legs even move directions might good amateur novice photographers sustain long term camera use shot thing holds fence post railing keeps phone upright let alone dslr camera pay use
41,use time great size throw backpack hike purse day it’s easy set wraps around anything easy clean mostly use phone holds big ol camera definitely great purchase happy don’t interject ask people take photos us time know i’m giving phone stranger pandemic great purchase
42,looking mount could film without somebody works perfect stand want mount object
43,love thing sony zv10 since camera smaller end makes feel secure holding also gives distance need selfies since camera crops little video
44,daily youtube vloggers use iphones gopros every day i’ve tried ruined many many many tripods legs always break hunt durable one saw lightning deal mini version bought others broke course far best tripod we’ve ever used purchased five fotopro tripods lol one keep car phones one gopros dumpster divers love thick handheld monopod strong excellent grip tripod washable nonporous easy use doesn’t slip pocket much stable tripod we’ve tried love recommend enough yet try remote don’t use one love tripod
45,love small worked great asia trip fitted gopro camera pandemic used phone calls also used microphone theater works perfectly without moving attached place really recommend
46,little tripod life saver stands perfect level laptop use dslr webcam zoom meetings like legs bend wrap around chairs etc make work pinch great works phone canon camera deducted star wish way keep legs stable move camera side side follow moving object also legs stable part they’re perfectly positioned weight camera tip camera almost crashed hard ground filming seminar thankfully caught seminar interrupted overall though pleased product would recommend
47,needed way shoot xxx looking angel use top bed post using camcorder works perfect
48,i’m obsessed little tripod skeptical buying… one wants put equipment tripod breaks i’m soo pleased sturdy strong little guy use tripod literally anywhere favorite tripod ever buy
49,el tripode esta muy bonito se nota que es el diseño original por la calidad del materia raya las superficies es suave al tacto para los niños esta muy bien ya que difícilmente se golpean al agarrarlo por su tamaño es muy versatil cabe en cualquier lugar se puede usar muy bien en la cama en la cocina la hora de cocinar lo único negativo que tiene es que esta diseñado para colocar el celular en modo landscape sea acostado si deseas colocarlo de foma vertical como es lo natural al momento de usar el teléfono debes retorcer las patas para obtener esa posición fin de cuentas si se logra pero el tripode queda en una posición extraña ocupando mas espacio del normal es lo único que cambiaría quizás si agregaran una cabeza para colocarlo vertical sería mejor yo descubierto como hacerlo te lo recomiendo
50,buy extremely cheap screws stay tight holds phone landscape mode portrait mode try sell ufo design legs even move directions might good amateur novice photographers sustain long term camera use shot thing holds fence post railing keeps phone upright let alone dslr camera pay use
51,use time great size throw backpack hike purse day it’s easy set wraps around anything easy clean mostly use phone holds big ol camera definitely great purchase happy don’t interject ask people take photos us time know i’m giving phone stranger pandemic great purchase
52,everything seems good quality slightly worried folding action arms holding pull every hard get arms bend fine lot torque put base arms would fine base fixed simply pulling static anchor frame however hinge allowing normal folding tripod movement also unsure needed could bend arms bit get normal tripod configuration worried hinge anchor frame force pulling legs bend much greater force required simply pull legs away frame form normal tripod eventually weaken break hinge
53,bought stand sony a5100 streaming also used recording videos sort handle flexible legs really let decide want set easy straighten lost durability time almost wish tripod legs little longer overall great product
54,purchased item used sony alpha camera also came phone holder piece didn’t think would use however came extremely handy long flights use flight entertainment using phone movies product versatile molded cup holder car navigation handsfree uses recently used tripod camera grand canyon formed around tree branch take family photo molds great around railings similar textures handsfree photos highly recommend tripod purchasing second son frequently borrows many uses ex watching videos bubble baths price great material durable love sure haven’t even used it’s full potential yet
55,exactly looking allow attach gopro almost anything
56,purchased week go matrial great seems good quality weight good picked use realizing attachment piece compatible portrait mood phone frankly seeing way compatible cameras dslr digital ones disappointed specially whole piece shown photos video expected receive can’t send back traveling country couple days search purchase extra piece job
57,use tripod film youtube videos videos usually sit talk camera type videos either tripod sitting surface like counter table wrap tripod legs around ring light stand also used vlogging lightweight yet sturdy enough hold sony camera love legs flexible never issue finding way prop tripod film interested check youtube channel tara sapp use tripod film videos
58,great product limitations tripod sturdy malleable difficult balance camera times getting legs straight difficult ok recommend buying product otherwise would go traditional tripod easier prop mount camera
59,ok tripod big minus swivel ball head difficult adjust angles shooting better options market buy one recommend one 3in1 action camera dslr phone portable flexible mini travel tripod camcorder projector tabletop stand mount canon iphone webcam youtuber reviewer one recommend much versatile better thank later
60,like good camera flexible
61,review ufo set love tripod it’s well made portable dynamic it’s perfect travel don’t want bring big heavy tripod use point shoot camera mobile phone action cam even holds dslrs pinch held d700 full frame dslr dont expect use big camera time manfrotto i’ve tried similar product looks almost ufo ’s legs hold better feel like last long time legs also great feeling rubber grip used gimbal grip taking videos love adjustable head feet rubber nothing fall break like brands mini flexible tripod get
62,since ton news social media social videos want something versatile hold phone camera depending working gadget ad photos later showing definitely media field might want ad tool bag love taking photos want hold firmly operate phone remotely great table top interviews desk interviews hold camera ease stumbled across looking something hold new cameras great buy
63,bought skeptical gave try fan tripods even though know need one huge reason hate carrying huge things around may even need day one flexible like received soon found easy roll legs fit lens pouch inside bag don’t carry huge tripod around yes know won’t job everything u need something won’t take space stand sturdy versatile definitely help legs snap place stay
64,received item mail today ordered specifically use sony a6400 want able set tripod unique ways capture footage working creating metalsmith jewelry designer tripod sturdy unique accessible anything want highly recommend
65,comes handheld tri pods skeptical one last year cheap plastic snapped month got tri pod however top notch easily bend way need grip strength absolute beast would recommend
66,looked gorilla pod find general use nots break decided look style firm grip holds phone decently sturdy enough gimbal perfect go months love little guy perfect vlogging makes playing pokémon go watching youtube walking dog baby easier
67,new vlogger tripod perfect carrying camera around city seems sturdy worried camera dropping works multiple cameras mine nikonb500 long tripod hole bottom also able prop camera multiple places due rubber like material flexible legs would highly recommend
68,bought traveling hawaii tell quality amazing originally wanted buy gorillapod tell good gorillapod
69,love wrap around tree branch old fence post bends perfectly taken perfect selfies group photos without find flat surface wish years ago
70,excellent flexible tripod use daily videos wrapped thing around whatever imagine i’ve owned still works great switched super expensive joby one knuckles haven’t disappointed highly recommend
71,tripod work needs clip hold phone preset widths it’s tight fit phone swivel head mount sits also spin enough give full vertical set missed return window guess it’s going goodwill
72,light easy carry quick set included remote makes easy use used one hike performed well held phones securely one one big phablet style phones allowed us get pics would able get without found remote needs woken reconnect w phone time pictures e g picture spot hike picture spot b reconnect reliably legs easy bend firm enough hold position securely tripod enough adjustments easy get picture level oriented way want recommended
73,recently took trip grand canyon really like product arms hold tightly it’s easy get back straight
74,okay comprehensive look tripod note plastic flexible foam rubber it’s heavy cameras want tripod take pictures smartphone action camera really good option would given stars way provided head holds phone weak careful break torque tension screw secure phone legs flexible feel sturdy actually like gorilla pod flexible foam rubber grab surfaces better
75,far good good size flexible easy work really dislikes great size limitations use compared normal standard height tripod
76,encanto ligero flexible igual la foto
77,flexible tripod useful came time film short film everything turned great wish legs tripod bit tougher everyday use tripod works fine one better types flexible tripods market
78,phone pretty big case dimensions phone holder spont holds big ass phone metal case perfectly highly recommend zoom meetings streaming go phone
79,bought dslr husband loves much uses hold cellphone time likes angle way wants
80,looking product use iphone x specifically face time flexible tripod fit need perfectly also looked others chose one fotopro looked durable legs flexible also rubber coated vs foam covering saw others makes feel last long time degree movement attachment point great use phone landscape well portrait mode ability attach tripod practically anything flexible legs
81,small would liked awesome holds nikon coolpix b without issues last tri pod would tip weight compact camera flexible wraps around virtually anything sturdy well built pleased purchase
82,fantastic customer service carol fotopro actually ordered wrong product meant order tripod came adapter gopro ordered basic model instead phone adapter fotopro sent new one correct adapter extra charge use tripod recent work trip works well used iphone gopro easy use legs easily adjusted stay place seems like highly durable already used multiple times salt water
83,lightweight easy handle grip every type surface stand latch things perfectly fine really good easy use would definitely recommend however dont know red wheel thought supposed move doesnt also legs bendable like could legit move type way put back together fine
84,nice adjustable nobs legs needed shift bit see thats problem make hard anything
85,little tripod great needs it’s right size making youtube videos actually works really well selfie stick love legs waterproof bendable haven’t tried extreme posing functions yet appears tripod hold lot versatile wish tiny bit taller maybe inches that’s complaint
86,decent product well made works supposed one metal screw attach camera good one plastic lasted one day threw mini pod ok versatile
87,perfect handheld portable tripod iphone stand adjusted shape wrap around object hold thing won’t hold phone straight use horizontally
88,perfect cameras
89,like put canon rebel t6 fall tried putting upside phone holder bit weird holds well like bend tripod legs anyway u want bit top heavy u camera
90,really debated back forth quite different handheld tripods needed something desk top daily needs decided go trend bought brand say really like everything would keep mind gifting camera buds
91,works great prefer gorilla pod design since ball joints could pop hinges legs fold bit loose usually problem used many times take pictures groups using cell phone remote works really well also used several times speedlite quickly set low angle shot
92,works great hold dslr rode videomic issue thread seems screw past even though it’s tight “could” tighter makes feel like could break tight it’s solid unit holds lots weight looking cheaper alternative joby line seems
93,tripod sturdy easily able hold dslr without bending quite comfortable hold hand planning vlog recommend product anyone needing reliable sturdy tripod
94,one legs broke made soft mental core joint recommend product
95,bad red plastic part handle feel little cheap times brittle even repeated heavy use everything seems fine grippy legs actually pain butt pull backpack started putting mesh bag put away easier good everything else really great portable option tons versatility heads work great great price point
96,tripod move like traditional one get better
97,used fotopro ufo2 like ball head sometimes sustain mid weight mirrorless cameras gx85 really like basic tripod without ball head rather ufo2 mounting another sturdy mini ball head harwerrel tripod mini ball head tripod becomes perfect flexible tripod ever used much versatile sturdier gorilla pod 3k costs combination made
98,wanted update review product unfortunately broke recording emailed company already sending brand new one replace broken one days initial email overall tripod everything wanted incredibly durable overall incredibly satisfied customer service well tripod
99,great holding canon camera highly recommend anyone looking tripod it’s beyond it’s worth it’s lot better tripods get best buy way priced it’s great recording car videos
100,great days got use puppy got hold chewed one feet pick money would recommend anyone looking good mini tripod right
101,like others competitor styles one fits needs much better really wanted one easy hold sony a7iii attached fits bill perfectly also never concerned camera risk falling
102,tripods however wanted flexible model sure much would use got well priced amazon recommended model performs everything supposed well intend use one lot would recommend getting model better smartphone mount rotating ball mount flexibility need good basic flexible tripod beat price
103,use shoot iphone pretty consistently trying use even point shoot camera legs hold well perfect iphone something sturdier small camera best
104,use stand hang baby camera mirror edge bedroom standard screw mount baby monitor camera attaches becomes versatile wherever go basic hook ledge becomes place stand hang hug tri pod point baby monitor little one
105,skeptical tripod stable great tool video shake video holding
106,oh goodness thought good true husband purchased v day clue knew opened box nikon d7100 fit without issue indeed hold without problem also came small attachment phones also great wonderful super easy use sturdy great present
107,second time lost last phone clip time around came phone clip didn’t pivot could use multiple ways plan purchasing another want hear company supplier change phone clip
108,received today absolutely love quality great feels high end highly recommend product it’s easy use making enjoyable definitely buying another one soon back
109,fantastic tripod especially traveling sony camera bit heavy even tripod support year travel many countries zero problems easily fits carryon luggage
110,using month set camera desk recording handheld monopod walking grip comfortable although take getting used tripod flexed curve otherwise
111,put canon eos r along 100mm f lens rated grams combination camera lens pushing still held fine taking italy couple weeks paired tiny ball head even added weight ball head camera lens stable
112,like size fact attach anywhere steady attached attached bleachers tended shake little noticeable recordings
113,tripod easy use handy phone could put table move directions want
114,pretty good knob holds still sometimes loosens alot better
115,best part many great things tripod grip legs pleasing hold hand camera attached screw attachment tight legs strong using sony a6000 kit lens sturdy wait wrap around get hard get shots
116,like wraps around things sturdy enough use stick wish longer bet elasticity legs still looking forward using
117,tripod works described easy use
118,use every day handle dslr it’s go piece gear leave home makes great tripod
119,great price works awesome amazing substitute expensive stuff also durable u can’t beat price
120,use hold camcorder attempts vlog versatile attach phone camera camcorder want unscrew phone attachment screw onto larger tripod 😁
121,works great multi device tripod selfie stick camera stand light easy carry wraps around items picture taking flat surfaces legs bendable use uneven surfaces works cell phone gopro large camera
122,fully experienced yet due lockdown came delivered fine much sturdier tripod last year extremely flexible comes phone clamp
123,like flexibility different camera angles
124,wish legs easily put position never way good product
125,good buy second holds outdoor cams secure beautifully designed crafted thanks
126,super easy use camera phone like small light enough carry around highly recommend
127,received mini tripod really enjoyed adapter cell phone well works dslrs mirror less cams attach limbs trees hand railings use regular tripod elevated surfaces use imagination go take pictures love product bought youtube recommendation
128,camera mount cheap plastic wide enough hold phone case designers continue make ridiculous narrow camera holder’s cannot hold iphone case around people cases phones yet keep making camera mounts one uses case sturdy protective case unusual shape angles flimsy camera mount skinny rubber grips completely incapable holding tripod
129,loving thus far purchased two one fir grandson
130,opened tripod pice plastic fallen broken spected remote also doesn’t product quality really nice flexible light holder phone awesome ever i’m disappointed bout moment opened brokenif beggening cameras photos think small size medium really big small one perfect option portable go everywhere
131,great product
132,bad product works described fits little zonko action camera well iphone phone case little tight mount overall wiggle going wrap around stuff works great bad selfie stick pinch either
133,love tripod works good enough though i’ve months it’s really good even water ocean plus work good heat humanity
134,took vacation perfect size traveling fit purse flexibility tripod allowed take photos videos almost angle durable made quality material also comes phone clip convenient love
135,says well
136,easy set use additional bracket phone camera bonus got great pictures northern lights rolling ship
137,mounted nikon d5600 wordks great would use outdoor windy conditions though think excellent phone accesory dsrl caution latter
138,love design capabilities fotopro tripod going companion working hours even though taking videos photos continue misplace phone worry see phone far away get lost anymore love device
139,bought daughter photography loved versatile taken anywhere wrapped around anything also used tripod stand perfect gift
140,perfect blogging selfies etc i’ve used sooo many different things bendy legs like octopus legs hang anything need tripod works great also folds fits bag well
141,love product still using light grip good material used good
142,like build 3d puzzles record finished product smartphone tripod allows free hands show model build it’s perfect light easy use portable
143,like sturdiness item fact place record youtube videos perfect spot without falling use record youtube videos
144,good
145,bends easy rubber grip legs nice phone holder attachment plus well
146,loved use almost anything tripod flexible shape angles need comes recording videos
147,versatility
148,im using product hold camera record youtube video tripod one best
149,exactly needed much better old one easy use heavy love would totally recommend
150,tried using remote yet stand working g great wish better swivel feature head think expensive version
151,decent tripod nothing special
152,really love tripod love legs adjustable easy great quality product use time
153,oh gosh must best i’ve spent camera equipment love small bring anywhere go love handles grip mount surface simply love using almost everyday
154,versatile features enable attain stable platform almost situation strong secure grip almost surface still works well standard tripod bit heavy side
155,works great exactly described months took europe used gopro canon m50 worked great highly recommend
156,perfect size lightweight use rear camera cell phone works wonders definitely comes handy get one disappointed
157,great unique situations like wrapping legs around post ladder
158,love tested last week phone easy use wait try new camera comes would definitely recommend youtuber vlogger influencer
159,little week see expect another similar tripod couple years chose get one little less bulky
160,u absolutely love tripod omg looking perfect one hold new canon eos m100 beyond expectations happy purchase 😊☺️✨
161,purchased grandson college loved
162,grandson uses tube
163,media could loaded leg broke base really sad thing awesome
164,easy use
165,steady strong tripod work prefect everything phone action camara canon m50
166,excellent tripod light weight stable tried couple times think little tripod last long time iphone plus heavy duty case fit tripod without problem
167,functional tripod bought secondary tripod last trip barely use main tripod easy quick adjust could place uneven surfaces holding canon 80d lens quite well
168,great product
169,easy use small camera
170,light weight durable really worth like different ones none compare good one turned
171,old sony a7 work great love legs instead bumpy legs similar tripods super sturdy wrap arounds however tried twisting legs together like pic ended breaking piece
172,tripod wonderful sturdy made quality products works vlogging
173,pretty light compact versatile little tripod works well feels stable wrapped around objects make stand used smart phone dslr camera
174,nice mine never came phone mount dona whole lot stuff phone would nice came
175,sturdy holds even heaviest cameras bend whatever shape need take beating
176,super flexible sturdy love black red color design attaches nearly anywhere
177,got able wrap around cruise railings capture footage got back cruise loved using filming cruise worked really really well
178,finally able hang camera shower pointing rest room longer get pranked
179,looking
180,i’m used months happy wrap around anything fit holds well time tell long lasts overly pleased far
181,fantastic product note others want put heavy camera lens nikon d750 nikkor 35f4 take
182,tripod functional well versatile
183,compact feels sturdy easy use good grip used questionable terrain managed stay put
184,nice grip phone used standing table hanging shelf hand worked well cases also standard camera mount
185,time i’m shooting take folding tripod ever since bought i’ve leaving larger tripods home shoot canon 77d it’s plenty support
186,you’d think i’d dropped didn’t even propped something hard took amazon bag gymnastic mats proceeded move legs j position order shoot form stretch plastic piece leg joint immediately snapped piece crap didn’t even try make legs go u j shape thing snapped right joint sure still works certainly don’t trust tripod hold together long pieces break right box otherwise seems versatile enough legs flexible
187,loved first much ordered second one added joby ball head ufo legs perfect mini tripod smaller cameras
188,expect last heavy use especially careful legs legs may survive base plastic definitely break quickly would still recommend price however would caution roughing
189,item received promptly worked needed thank
190,boy glad didnt use fortune gorillapod thing awesome sturdier anything much expensive love plan getting models series
191,really strong wait use camera
192,works great iphone nice firm
193,bought mirrorless camera travel something small could pack bag meant replace big tripods versatile legs bend grip wrapped around pole incline something high low problem serious mirrorless camera shakes even remote shutter see small shake tightened much date it’s mostly plastic don’t plan use anything larger phone flexibility design unfortunately equals flexibility mount shaky pics
194,get job done exactly
195,use make vlogs it’s lightweight easy setup love
196,love tripod much bought two super cool extension phone use mine sony a6300 keeps steady supported
197,best handheld tripod i’ve far works like charm legs bend sit angle you’d like also stable g7x mark
198,nice flexible tripod bought use vacation fit carry nicely worked well different locations longer exposures wrapped around objects held well
199,great purchase gopro put anything limb ledge twist camera whichever way need stays put solidly built
200,love everything price excellent
201,purchased tripod based recommendation take videos using iphone far great perfect needed
202,quality seems great didn’t come attachments pictured hold phone vertically customer service didn’t respond
203,tripod worked great needed however one legs broke internally short time rendering useless great design sturdy repeated use
204,cool device grips better gorrilapod nice light build quality nice it’s plastic feels like sturdy quality plastics recommend
205,perfect vlogging needed wish compact that’s okay
206,versatile flexible sturdy durable great product
207,would better clamp extends
208,like grip easy use great extended handling videos
209,awesome camera mount exceeds expectations use hold fx radar chronograph works flawlessly
210,easy used small portable perfect canon m50
211,use canon 5d markiii even larger zoom lenses able hold load great price especially
212,tripod awesome comfortable gorilla pod perfect size backpack side pocket great performance happy good
213,one good one degree swivel neck much much better get one much happier
214,hold phone projector perfectly
215,functional described would recommend
216,love needed would shop vendor
217,seems strong holds nikon d3400 problems tripod holds shape well legs click place feels stable
218,best
219,first like oh thing work proven wrong happy purchase
220,feels cheap something bound break trust high value camera perfect point shoot camera
221,love
222,love product use almost daily vlogging it’s able attached chairs carts held hand stand
223,great product needed
224,good quality holds camera anywhere wish bit bigger still amazing
225,love using tripod
226,fits lumix fz300 perfectly i’m loving tripod also feels safe camera
227,love product flexible sturdy used dslr iphone camera love love love
228,like selfie stick tripod use fits phone
229,love gopro hero much sturdy options style definitely recommend
230,works well hardy take abuse replace different make broke one solidly made
231,buen material muy funcional
232,grandson loved
233,sturdy actually holds camera attached lens
234,better expected great buy price
235,changed vlogging game man love amazing attachment phone well
236,easily adjustable mount anywhere solid bending legs better pop beads type tripod comes small efficient smartphone clamp like lot
237,gave gift lil bro loved
238,good small cameras like go pro good dslr camera heavy
239,received tested today family camping weekend good product guys high quality stuff
240,perfect situation holds dslr canon 60d clip holds bloggie touch phone great value
241,exactly looking works perfect iphone large dslr legs super moldable sturdy love
242,love use work outs work need make videos
243,love soo much using iphone dslr canon camera
244,love works great even heavier camera
245,great tripod flexible grips things well
246,ok begin like tripod flexible easy set although disappointed swivel top put phone anyway phone connector snapped little pressure use looked since plastic top cheap recommend
247,experience thus far using efficient tool heck previously get without
248,great bloggers youtube life dionne
249,works advertised
250,strong like
251,works great
252,versatile lightweight perfect planned usage
253,love handheld tripod glad bought
254,i’m loving tripod it’s really easy use use record workouts it’s versatile
255,amazing works great stabilizer works camera apps take low light photos
256,tripod strong easy use fits camera cell phone
257,bought thing little month ago cheap trying buy gorillapod price using camera mind cameras heavy one legs ended breaking today shooting mostly kept gear bag wasn’t abusing anything feel like would’ve lasted longer used specifically phone possibly
258,flexible grippy holds position
259,love
260,speedy delivery looks exactly advertized cannot wait start vlogging
261,absolutely perfect canon sl2 probably best budget tripp’s i’ve ever
262,amazing video pictures quality
263,súper bien
264,tripod everything pass pure quality love
265,exactly described perfect sony a5000
266,unfortunately item broke within week day wanted son make home videos old phone phone attachment easily cracked youngest hit something
267,loved tripod it’s sturdy
268,use every day perfect little tripod vlogging cameras phones
269,use vlog it’s perfect
270,granddaughter loves
271,way bends grips exactly need great iphones video gopro
272,bought son loves using take video outdoors
273,works like thought would perfect cell phone video great product price
274,really love tripod flexible legs awesome great value money
275,best tripod ever sturdy comfortable grip
276,exactly tri pod flexible legs
277,amazing product
278,far good comes phone mount well i’ll update anything changes
279,cute sturdy
280,used trip tokyo smarthest gadget could’ve taken
281,used m50 camera pretty light weight camera little weeks one leg already broke overall loved light weight easy carry around
282,tripod good grip however holding mount phone terrible lasted couple hours broke
283,finally found great tripod works well use travel
284,love fits camera made good quality
285,used brand new 30min i’m already satisfied price point definitely help tool amateur progressing film picture taking stuff update 3months update i’m actually disappointed fast tripod broke weeks noticed significant weak joint move device forward backwards become practically useless🙁
