,Reviews
10,"
It is the best phone ever!
"
11,"
Great product!
"
12,"
We just got it and It seems to be a very nice phone
"
13,"
Awesome
"
14,"
nice phone
"
15,"
So they did a couple of updatesBetter camera ( not great )Crease still very visible , I mean come on , surly the design of the screen could have been improved. Aspect ratio just feels all wrongBattery life betterBut overall not worth the upgrade for what your paying ( your paying to flip a screen) nothing more
"
16,"
I like the phone , but it does not have Dex. Dex allows you to use Samsung phone with HDMI inputs such as monitors and TV screens.I would not have this as a primary phone for my needs as the flip is kind of gimicky IMO, but...I like to use the rear camera for selfies in the folded /flip mode. Takes good photos, and I can backup photos to an USB-C memory stick  if needed, as no memory card option (although 256k internal memory).I am awaiting a high quality skin for the front screen and also the rear, on order here at AMZ.I got the phone on a two year added line with a carrier and my monthly rate plan is like a phone payment , so that was a no brainer. Can't complain about the price which is a wa$h. Not sure if it is worth $1k retail. Better primary phones out there IMO.Purchased a great Amazon a padded holster type case that loops on your belt that is padded, and would highly recommend that. Also got here a case that protects the rear hinge and the texture makes it less slippery yet protected from falls (when closed ideally). This phone will not leave my grip when in use.Disliking the nosy permissions which can Not be disabled for certain apps like Camera. Come on Samsung, Google, etc stop spying on us and selling our souls to strangers.I prefer my Sony Xperia 1 Mark 3 for photos. No itrusions by SONY, which IMO makes the highest quality phones but perhaps is trailing in their software area compared to SAMapple.
"
17,"
I got mine from Verizon, but overall it's a great phone, I don't know why all the people who haven't touched one want to talk down on it.
"
18,"
As the title suggests my experience with the Samsung Galaxy Z Flip4 has not been ideal.Like most people I have experienced a short battery life despite the larger battery and claims of a more power efficient chipset in this latest iteration of the Flip series. At least that's what I experienced before it started randomly power cycling or just straight up turning itself off with 70-80% of the battery charge remaining. The USB port started rejecting cables for anything other than charging even though they worked fine with the Samsung Galaxy S20 FE I had replaced with the Flip4 and who still worked with other devices for data transfer. All of this happened within two weeks of receiving the device.There are things I genuinely like about the Flip 4. The ability to start and stop the playback of my audiobooks without having to open the device or turn the main screen on is brilliant. I can just leave it on the desk while I work with my bluetooth earbuds in and can stop and start at a moment with no hassles. The new chipset has a much greater ability to maintain a stable 5g data connection over my previous phone which is vital to me. The ability to fold and use the camera feels great to use. It's a shame how bad of an experience I've had with the hardware.I might change my mind in the future but as of right now I would not recommend this phone. It's far too expensive to have these shortcomings and to be apparently so delicate.
"
19,"
The reason the screen can fold is because it's made out of soft plastic. They put another layer of slightly harder plastic on top of the base screen to protect from scratches.The harder 'screen protector' layer can only be folded for about 6 months before it starts to peel up and crack. This would be fine if samsung had ANY POSSIBLE WAY TO REPLACE IT but they don't. Because of the crease you need a special machine to reapply a new protector. There's only a handful of places in the United States that have the necessary equipment, so if you don't live in 1 of the 4 cities in the US you're out of luck.If you contact them to fix it they might let you ship it in for 14 days to get repaired, but due to how common this is theyve recently stopped acknowledging the damage as a design problem. So it's no longer being covered under warranty. You'll have to pay like 300$ to get it replaced every 6 months and not have your phone for those 14 days.It's really frustrating because it's an otherwise great phone ruined because of terrible support from samsung. I wish I never bought it
"
20,"
I like it, I was a really big fan of my S10 and replaced it with this. Sometimes having the big screen with a pen is really handy, and I like to play games and there's all sort of nifty stuff you can do with Xbox controllers, a pc and the phone combined if you're interested. Battery drains kinda fast if your on the big screen watching videos, etc. I don't have any issues with the bend in the middle. People that say ""I don't even see it!"" Are bs'ing you, you'll notice it. If the brightness is up its not a huge deal, but if your looking at something mono-colored or just very dark, it's pretty obvious. Still, having a phone that opens up into a tablet is pretty cool. I'm pretty tech-savvy and I still don't know how to get the most out of the whole dual left right screen thing. Also certain apps close/reset when you unfold. So if you're on ig watching some video and think ""I wanna see this bigger"" and unfold, it's gone and you'll probably never find where you were.
"
21,"
This device is not perfect, but after using it even a short while, I can never go back.  It would be great if there were more competition in this space.  I'd ask for less bulk, no divot in the middle (a sharp break or crease would be preferred), and maybe a built in pen like the galaxy note.
"
22,"
The over reviews made me wary of making a big purchase but my experience has been awesome in the last 2weeks. I bought a case, camera lens cover & stylus with the phone.Compared to my old iphone, the camera quality is great, the voice clarity is better and the battery life is more than adequate. I'm a medium user, but I have about 50% battery left at the end of the day and the charging is fast. Modern tech isn't rugged hence the case. If I had more cash to spend, i'd definitely buy this again! 5 stars
"
23,"
funcionaba muy bien, pero después de unos updates el teléfono empezó a laguearse, usar mucha memoria.lo compre prácticamente para jugar Runescape3 y ahora se laguea solo con moverte. La primera vez que veo que un teléfono caro no pueda mover ese juego, no lo recomiendo mejor compren un S22 ultra o la tablet s8 ultra seria mejor inversión y sin tanto slowdown.It worked very well, but after a few updates the phone started to lag, using a lot of memory.I bought it practically to play Runescape3 and now it lags just by moving. the first time I see that an expensive phone can not move that game, I do not recommend it, better buy an S22 ultra or the s8 ultra tablet, it would be a better investment and without so much slowdown.
"
24,"
The foldable phones are disposable. Don't just take my word for it, Google stress fractures and factory installed screen protectors falling off after a few months. Basically, your folding screen will fail in less than a year. Then your carrier says you need to contact Samsung who will offer to let you send the phone in for repair indefinitely or you can drive to a service center and spend all day while they fix it. They sell you a garbage product and they know it will fail so they intentionally give poor support hoping you will give up. Stay away!
"
25,"
I am an absolute fan of Samsung, but they failed with folds and got overwhelmed with returns, so they defaulted to drop the ball on customers with lame excuses to all customers that screen been misused that's why pealing of ...so average. folds last 2-3month
"
26,"
I like it, I was a really big fan of my S10 and replaced it with this. Sometimes having the big screen with a pen is really handy, and I like to play games and there's all sort of nifty stuff you can do with Xbox controllers, a pc and the phone combined if you're interested. Battery drains kinda fast if your on the big screen watching videos, etc. I don't have any issues with the bend in the middle. People that say ""I don't even see it!"" Are bs'ing you, you'll notice it. If the brightness is up its not a huge deal, but if your looking at something mono-colored or just very dark, it's pretty obvious. Still, having a phone that opens up into a tablet is pretty cool. I'm pretty tech-savvy and I still don't know how to get the most out of the whole dual left right screen thing. Also certain apps close/reset when you unfold. So if you're on ig watching some video and think ""I wanna see this bigger"" and unfold, it's gone and you'll probably never find where you were.
"
27,"
This device is not perfect, but after using it even a short while, I can never go back.  It would be great if there were more competition in this space.  I'd ask for less bulk, no divot in the middle (a sharp break or crease would be preferred), and maybe a built in pen like the galaxy note.
"
28,"
The over reviews made me wary of making a big purchase but my experience has been awesome in the last 2weeks. I bought a case, camera lens cover & stylus with the phone.Compared to my old iphone, the camera quality is great, the voice clarity is better and the battery life is more than adequate. I'm a medium user, but I have about 50% battery left at the end of the day and the charging is fast. Modern tech isn't rugged hence the case. If I had more cash to spend, i'd definitely buy this again! 5 stars
"
29,"
funcionaba muy bien, pero después de unos updates el teléfono empezó a laguearse, usar mucha memoria.lo compre prácticamente para jugar Runescape3 y ahora se laguea solo con moverte. La primera vez que veo que un teléfono caro no pueda mover ese juego, no lo recomiendo mejor compren un S22 ultra o la tablet s8 ultra seria mejor inversión y sin tanto slowdown.It worked very well, but after a few updates the phone started to lag, using a lot of memory.I bought it practically to play Runescape3 and now it lags just by moving. the first time I see that an expensive phone can not move that game, I do not recommend it, better buy an S22 ultra or the s8 ultra tablet, it would be a better investment and without so much slowdown.
"
30,"
The foldable phones are disposable. Don't just take my word for it, Google stress fractures and factory installed screen protectors falling off after a few months. Basically, your folding screen will fail in less than a year. Then your carrier says you need to contact Samsung who will offer to let you send the phone in for repair indefinitely or you can drive to a service center and spend all day while they fix it. They sell you a garbage product and they know it will fail so they intentionally give poor support hoping you will give up. Stay away!
"
31,"
I am an absolute fan of Samsung, but they failed with folds and got overwhelmed with returns, so they defaulted to drop the ball on customers with lame excuses to all customers that screen been misused that's why pealing of ...so average. folds last 2-3month
"
32,"
I was looking for a mount so i could film without having somebody with me, works perfect on the stand and or if you want to mount it to an object.
"
33,"
Love this thing for my Sony zv10! Since the camera is on the smaller end, it makes me feel more secure holding it. Also gives me the distance I need for doing selfies since the camera crops a little with video.
"
34,"
We are daily youtube vloggers and we use our iPhones and gopros every day...I’ve tried and ruined many many many tripods (legs always break off) and was on the hunt for a more durable one...saw this on a lightning deal (the mini version) and bought it and a few others that broke of course...by FAR this is the best tripod we’ve ever used! I have now purchased FIVE Fotopro tripods! Lol one to keep on each car for the phones and one for each of our gopros. We are dumpster divers so we love that this is thick as a handheld monopod, strong with an excellent grip as a tripod, washable and nonporous, easy to use, doesn’t slip out of a pocket, and is much more stable than any other tripod we’ve tried! Just love it. Can not recommend these enough. (We have yet to try the remote because we don’t use one, but love it for the tripod!)
"
35,"
I love that is small. It worked great with my Asia trip. It fitted my gopro camera and during the pandemic I used it for the phone in calls. I have also used it for my microphone in a theater and it works perfectly without moving from the attached place. I really recommend it!
"
36,"
This little tripod is a life saver.  Stands at perfect level over my laptop so I can use my DSLR as a webcam for zoom meetings.  I like that the legs bend so I can wrap it around chairs, etc to make it work in a pinch.  Great that it works on both phone and my canon camera.  I deducted a star because I wish it had a way to keep the legs stable and move just the camera side to side to follow a moving object, and also the legs are stable for the most part but if they’re not perfectly positioned the weight of the camera can tip it over. My camera almost crashed to the hard ground while filming a seminar (thankfully I caught it, but the seminar was interrupted). Overall though I am very pleased with this product and would recommend.
"
37,"
Needed a way to shoot XXX looking down at a angel. Use this on top of bed post using camcorder and works perfect.
"
38,"
I’m obsessed with this little tripod!!!! I was skeptical before buying… no one wants to put their $3000 equipment on a tripod that breaks!! But I’m soo pleased with how sturdy and strong this little guy is. I can use this tripod literally anywhere. My favorite tripod ever. Buy it.
"
39,"
El tripode esta muy bonito, se nota que es el diseño original por la calidad del materia. No raya las superficies y es suave al tacto, para los niños esta muy bien ya que difícilmente se golpean al agarrarlo. Por su tamaño es muy versatil y cabe en cualquier lugar ... se puede usar muy bien en la cama o en la cocina a la hora de cocinar.Lo único negativo que tiene es que esta diseñado para colocar el celular en modo landscape o sea acostado si deseas colocarlo de foma vertical como es lo natural al momento de usar el teléfono, debes retorcer las patas para obtener esa posición... a fin de cuentas si se logra pero el tripode queda en una posición extraña ocupando mas espacio del normal ... es lo único que cambiaría quizás si agregaran una cabeza para colocarlo vertical sería mejor o yo no he descubierto como hacerlo.... Te lo recomiendo.
"
40,"
Do not buy this. It is extremely cheap. The screws do not stay tight. It only holds your phone in landscape mode, not portrait mode. They try to sell you on this ""UFO"" design for the legs, which don't even move in all directions. This might be good for amateur or novice photographers, but will not sustain any long term camera use. There's no shot this thing holds to a fence post or railing and keeps your phone upright, let alone a DSLR camera. You couldn't pay me to use this.
"
41,"
I use it ALL the time, what a great size to throw in your backpack for a hike, or in your purse for a day out. It’s so easy to set up, wraps around anything, and is easy to clean. I mostly just use it with my phone but it holds my big ol camera too! Definitely a great purchase, and so happy I don’t have to interject and ask people to take photos of us all the time (and you know I’m not giving my phone to a stranger in a pandemic!) 10/10 a great purchase.
"
42,"
I was looking for a mount so i could film without having somebody with me, works perfect on the stand and or if you want to mount it to an object.
"
43,"
Love this thing for my Sony zv10! Since the camera is on the smaller end, it makes me feel more secure holding it. Also gives me the distance I need for doing selfies since the camera crops a little with video.
"
44,"
We are daily youtube vloggers and we use our iPhones and gopros every day...I’ve tried and ruined many many many tripods (legs always break off) and was on the hunt for a more durable one...saw this on a lightning deal (the mini version) and bought it and a few others that broke of course...by FAR this is the best tripod we’ve ever used! I have now purchased FIVE Fotopro tripods! Lol one to keep on each car for the phones and one for each of our gopros. We are dumpster divers so we love that this is thick as a handheld monopod, strong with an excellent grip as a tripod, washable and nonporous, easy to use, doesn’t slip out of a pocket, and is much more stable than any other tripod we’ve tried! Just love it. Can not recommend these enough. (We have yet to try the remote because we don’t use one, but love it for the tripod!)
"
45,"
I love that is small. It worked great with my Asia trip. It fitted my gopro camera and during the pandemic I used it for the phone in calls. I have also used it for my microphone in a theater and it works perfectly without moving from the attached place. I really recommend it!
"
46,"
This little tripod is a life saver.  Stands at perfect level over my laptop so I can use my DSLR as a webcam for zoom meetings.  I like that the legs bend so I can wrap it around chairs, etc to make it work in a pinch.  Great that it works on both phone and my canon camera.  I deducted a star because I wish it had a way to keep the legs stable and move just the camera side to side to follow a moving object, and also the legs are stable for the most part but if they’re not perfectly positioned the weight of the camera can tip it over. My camera almost crashed to the hard ground while filming a seminar (thankfully I caught it, but the seminar was interrupted). Overall though I am very pleased with this product and would recommend.
"
47,"
Needed a way to shoot XXX looking down at a angel. Use this on top of bed post using camcorder and works perfect.
"
48,"
I’m obsessed with this little tripod!!!! I was skeptical before buying… no one wants to put their $3000 equipment on a tripod that breaks!! But I’m soo pleased with how sturdy and strong this little guy is. I can use this tripod literally anywhere. My favorite tripod ever. Buy it.
"
49,"
El tripode esta muy bonito, se nota que es el diseño original por la calidad del materia. No raya las superficies y es suave al tacto, para los niños esta muy bien ya que difícilmente se golpean al agarrarlo. Por su tamaño es muy versatil y cabe en cualquier lugar ... se puede usar muy bien en la cama o en la cocina a la hora de cocinar.Lo único negativo que tiene es que esta diseñado para colocar el celular en modo landscape o sea acostado si deseas colocarlo de foma vertical como es lo natural al momento de usar el teléfono, debes retorcer las patas para obtener esa posición... a fin de cuentas si se logra pero el tripode queda en una posición extraña ocupando mas espacio del normal ... es lo único que cambiaría quizás si agregaran una cabeza para colocarlo vertical sería mejor o yo no he descubierto como hacerlo.... Te lo recomiendo.
"
50,"
Do not buy this. It is extremely cheap. The screws do not stay tight. It only holds your phone in landscape mode, not portrait mode. They try to sell you on this ""UFO"" design for the legs, which don't even move in all directions. This might be good for amateur or novice photographers, but will not sustain any long term camera use. There's no shot this thing holds to a fence post or railing and keeps your phone upright, let alone a DSLR camera. You couldn't pay me to use this.
"
51,"
I use it ALL the time, what a great size to throw in your backpack for a hike, or in your purse for a day out. It’s so easy to set up, wraps around anything, and is easy to clean. I mostly just use it with my phone but it holds my big ol camera too! Definitely a great purchase, and so happy I don’t have to interject and ask people to take photos of us all the time (and you know I’m not giving my phone to a stranger in a pandemic!) 10/10 a great purchase.
"
52,"
Everything seems to be good quality. I am slightly worried about the folding action of the arms not holding up.Because you have to pull every hard to get the arms to bend (which is fine), there is a lot of torque put on the base of the arms. This would be fine if this base were fixed, and it was simply pulling against a static anchor into the frame, however; there is a hinge there allowing for normal folding tripod movement, which I also am unsure if it is needed, as you could just bend all 3 arms out a bit to get a normal tripod configuration. I am worried that because this is a hinge and not an anchor to the frame, that the force of pulling the legs to bend them - which is much greater than the force required to simply pull the legs away from the frame to form a normal tripod - will eventually weaken / break this hinge.
"
53,"
I bought this a stand for my sony a5100 when I'm streaming but have also used while recording videos as sort of a handle. The flexible legs really let you decide how you want it to set up. Its easy to straighten out and hasn't lost any durability in the time I've had it. I almost wish the tripod legs were a little longer but overall a great product.
"
54,"
I purchased this item to be used with my Sony alpha camera. It also came with a phone holder piece that I didn’t think I would use however it has came extremely handy on long flights for use of on flight entertainment (using phone for movies). This product is so versatile can me molded into a cup holder in a car for navigation or other handsfree uses. I recently used the tripod with my camera while at the Grand Canyon formed around a tree branch to take a family photo. Molds great around railings and other similar textures for handsfree photos. I highly recommend this tripod. Purchasing a second for my son who frequently borrows it for many uses ex: for watching videos during his bubble baths. The price is great and the material is durable. I love it and am sure i haven’t even used it to it’s full potential yet.
"
55,"
Exactly what I was looking for. This will allow me to attach my gopro to almost anything.
"
56,"
I purchased this a week a go , matrial is great and seems very good quality. Weight is good too, but and only now when I picked it up to use realizing that the attachment piece is not compatible with portrait mood in phone and frankly I am not seeing any way that it can be compatible with my cameras ( I have a DSLR and a digital ones ) and I am very disappointed with this specially that there is a whole other piece shown in photos and video, so it was I expected to receive. Now I can’t send it back because I am traveling out of country for couple of days, and will have to search and purchase an extra piece to do the Job.
"
57,"
I use this tripod to film my YouTube videos. My videos are usually sit down, talk to the camera type videos so I either have this tripod sitting on a surface (like a counter or table) or I wrap the tripod legs around my ring light stand. I have also used it for vlogging and it is very lightweight yet sturdy enough to hold my sony camera. I love that the legs are flexible so it is never an issue finding a way to prop up the tripod to film.If you are interested check out my YouTube Channel, Tara Sapp. I use this tripod to film all of my videos.
"
58,"
All in all, this is a great product but it has it's limitations. The tripod is sturdy and malleable but it's difficult to balance my camera at times because getting the legs 100% straight again is difficult. If you're ok with that, I recommend the buying this product, otherwise I would go for a traditional tripod where it will be easier to prop up and mount your camera on.
"
59,"
It is an ok tripod But the big minus is that it doesn't have a swivel ball head so it is more difficult to adjust angles of shooting. There are other better options on the market. Don't buy this one. I recommend this one:-----3in1 Action Camera DSLR Phone Portable Flexible Mini Travel Tripod Camcorder Projector Tabletop Stand Mount for Canon iPhone Webcam Youtuber Reviewer---The one i recommend is much more versatile and just better. Thank me later. :)
"
60,"
I like this. It is good for my camera and flexible
"
61,"
My review is for the UFO 2 Set. I love this tripod! It’s well made, portable and is very dynamic. It’s perfect for travel or when you don’t want to bring your big heavy tripod. You can use it with your point and shoot camera, your mobile phone, your action cam and it even holds DSLRS in a pinch! It held my D700 full frame DSLR. I dont expect to use it with my big camera all the time. I have a Manfrotto for that.I’ve tried a similar product that looks almost the same, but the UFO 2’s legs hold better and feel like they will last a long time. The legs also have a great feeling rubber grip to it and can be used as a gimbal/ grip for taking videos too. Love the adjustable head and that the feet are rubber with nothing to fall or break off like other brands. This is the mini flexible tripod to get.
"
62,"
Since I do a ton of news, social media, social videos, I want something that is versatile that can hold both phone & camera depending where I am working.This gadget does just that. I will ad photos later showing both.  If you are definitely in the media field you might want to ad this to your tool bag! If you love taking photos and want some to hold your firmly, this is it. If you can operate your phone remotely, this is great for table top interviews, desk interviews, and can hold your camera with ease!I stumbled across this when looking for something to hold my new cameras. Great buy!!!!
"
63,"
When I bought this I was skeptical but I gave it a try. I am not a fan of tripods even though we all know we need them one huge reason is I hate carrying huge things around I may not even need that day! This one being flexible I was like why not...so I received this and soon found out it is so easy to roll up the legs I can fit it in a lens pouch inside of my bag so I don’t have to carry a huge tripod around. Yes I know it won’t do the job for everything but if u need something that won’t take up space will stand and be sturdy and is versatile this will definitely help you out. The legs snap into place and stay.
"
64,"
I received this item in the mail today. I ordered it specifically to use with my Sony A6400. I want to be able to set up a tripod in very unique ways to capture footage of myself working and creating as I am a metalsmith and jewelry designer. This tripod is sturdy, unique, and accessible for anything you want to do with it. I highly recommend this!
"
65,"
When it comes to handheld tri-pods, I'm very skeptical. I had one last year that was cheap plastic and snapped a month after I got it. This tri-pod however, is top notch. I can easily bend it to the way I need and the grip strength is an absolute beast. 10/10 would recommend.
"
66,"
Looked into the gorilla pod to find that after general use the nots break. So I decided to look into this style. Very firm grip. Holds phone decently. Sturdy enough for my gimbal. Perfect for on the go. Have had it for a few months. Love this little guy. Perfect for vlogging. Makes playing Pokémon Go or watching YouTube while walking the dog and baby easier.
"
67,"
I am a new vlogger and this tripod was perfect for carrying my camera around the city with me! It seems to be very sturdy and I wasn't worried about my camera dropping. It works with multiple cameras(mine is NikonB500) as long as you have the tripod hole at the bottom. I was also able to prop my camera up multiple places due to the rubber like material and flexible legs.I would highly recommend!
"
68,"
I bought this when I was traveling to Hawaii. I have to tell you the quality is amazing. I originally wanted to buy the gorillapod. But I have to tell you that this is as good as the gorillapod.
"
69,"
I love how I can wrap this around a tree branch or an old fence post while out and about.  It bends perfectly!  I've taken perfect selfies and group photos with this without having to find a flat surface.  I wish I had this years ago.
"
70,"
Excellent flexible tripod. I use it daily for my videos. I have wrapped this thing around whatever you can imagine. I’ve owned it for a while now. Still works great. I switched from a super expensive Joby one with the knuckles to this and haven’t been disappointed. Highly recommend
"
71,"
This tripod does not work for my needs at all. The clip to hold your phone has preset widths, so it’s not a tight fit on the phone. The swivel head that the mount sits on also does not spin enough to give you a full vertical set up. I missed the return window, so I guess it’s going to Goodwill.
"
72,"
Light and easy to carry, quick to set up, and included remote makes it easy to use.  Have used it on one hike and it performed very well, held our phones securely (and one of those is one of the big ""phablet"" style phones), and allowed us to get pics we would not have been able to get without it.We found that the remote needs to be ""woken up"" to reconnect w/the phone when there is some time between pictures (e.g., picture in spot A, hike some more, picture in spot B). It did reconnect reliably.The legs are easy to bend but firm enough to hold position securely, and the tripod has enough adjustments that it's easy to get the picture level and oriented the way you want.  Recommended.
"
73,"
Recently took it on a trip to the Grand Canyon and I really like this product. The arms hold on tightly and it’s easy to get it back straight
"
74,"
Okay here is a comprehensive look at this tripod. Note that it is all plastic and flexible foam rubber so it’s not for heavy cameras. If you just want a tripod to take pictures with your smartphone or action camera this is a really good option. I would have given it 5 stars all the way but the provided head that holds the phone is very weak. If you are not careful it will break when you torque the tension screw down to secure the phone. The legs are very flexible and feel sturdy. I actually like them more than my gorilla pod just because they are more flexible and the foam rubber will grab on to surfaces better.
"
75,"
So far so good, it's a good size, it is very flexible and easy to work with... I really don't have any dislikes about this. It's great for its size and limitations of use as compared to a normal standard height tripod...
"
76,"
Me encanto ligero, flexible y igual a la foto 10/10
"
77,"
This flexible tripod is very useful! It came just in time to film my short film, and everything turned out great. I wish the legs of the tripod were a bit tougher, but for everyday use, the tripod works just fine. One of the better types of flexible tripods on the market!
"
78,"
My phone is pretty big with it's case on. The dimensions for the phone holder are spont on and holds my big ass phone with it's metal case perfectly. Highly recommend for zoom meetings or streaming on the go from your phone.
"
79,"
I bought this for my dslr, but my husband loves it so much, he uses it to hold his cellphone all the time. He likes it because he can angle it any which way he wants.
"
80,"
We were looking for a product to use with our Iphone X, specifically for face time, this Flexible tripod fit the need perfectly, we also looked at some others and chose this one from Fotopro because it looked to be more durable.The legs are very flexible but also rubber coated vs the foam covering we saw on others which makes me feel this will last a long time. The 90 degree movement of the attachment point is great because you can use the phone in both landscape as well as portrait mode.The ability to attach this tripod to practically anything with the flexible legs.
"
81,"
Not as small as I would have liked but awesome just the same, it holds my Nikon Coolpix B-700 without any issues, last tri-pod would tip over from the weight of my compact camera, so flexible and wraps around virtually anything. Very sturdy, well built, Very pleased with my purchase.
"
82,"
Fantastic customer service from Carol at Fotopro! I actually ordered the wrong product - I meant to order the tripod that came with the adapter for GoPro's but ordered the basic model instead (phone adapter only). Fotopro sent me a new one with the correct adapter at no extra charge.I did use the tripod on a recent work trip and it works very well. I used it with iPhone and GoPro and it was easy to use for both. The legs are easily adjusted and stay in place. Seems like it will be highly durable; I've already used it multiple times in salt water.
"
83,"
It's very lightweight and easy to handle. The grip isn't for every type of surface but for it to stand up and latch on to things are perfectly fine it's really good and just easy to use. Would definitely recommend. However I dont know what to do with the red wheel I thought it was supposed to move but it doesnt. Also the legs are very bendable like you could legit move them in any type of way and put them back together and they'd be fine.
"
84,"
It's nice that it has adjustable nobs and legs but what about if I needed to shift it up or down a bit now see thats my problem .. It doesn't and it make it hard to do anything.
"
85,"
This little tripod is great for my needs! It’s about the right size for making YouTube videos and actually works really well as a selfie stick too. I love that the legs are waterproof and bendable, I haven’t tried the extreme posing functions yet but it appears the tripod will hold up to a lot and will be very versatile. I wish it was a tiny bit taller, maybe 2-3 inches, but that’s my only complaint!
"
86,"
This is a decent product. Well made and it works as its supposed to. This one has a metal screw to attach to camera. That's good. I had one that was plastic that lasted one day,threw it out. This mini pod is ok and is versatile.
"
87,"
This is the perfect handheld, portable tripod for an Iphone! It can stand on its own and can be adjusted to just about any shape or wrap around any object to hold it up.The only thing is it won’t hold your phone straight up and down, you can only use it horizontally.
"
88,"
Perfect for cameras
"
89,"
I like how I can put my Canon Rebel T6 on here and it won't fall off. I haven't tried putting it upside down. The phone holder is a bit weird but it holds very well. I like how I can bend the tripod legs anyway u want. A bit top heavy when u have a camera on it.
"
90,"
I really debated back and forth on quite a few different handheld tripods.I needed something for my desk top and daily needs. i decided to go against the trend and bought this brand....I have to say i really like it for everything I do. I  would keep this in mind for gifting my camera buds!
"
91,"
Works great! Prefer it to the Gorilla Pod design since it doesn't have ball joints that could pop out. The hinges where the legs fold out can be a bit loose but it's usually no problem. I've used this many times to take pictures of myself or groups using my cell phone as a remote and it works really well! Also have used is several times for my speedlite to just quickly set at a low angle for a shot.
"
92,"
Works great to hold my dslr and rode videomic, only issue is the thread seems to screw past what it should. So even though it’s tight it “could” be tighter, which makes it feel like it could break if it was too tight. It’s a solid unit and holds lots of weight. I was looking for a cheaper alternative to the Joby line and this seems to be it.
"
93,"
This tripod is very sturdy. It will easily be able to hold a DSLR without bending. Quite comfortable to hold in a hand if your planning to vlog. I recommend this product to anyone needing a reliable and sturdy tripod.
"
94,"
One of the legs broke because it was made with soft mental core at the joint.  I don't recommend this product.
"
95,"
The Bad: The red plastic part and the handle do feel a little cheap and at times brittle, but even with repeated heavy use everything seems fine. The grippy legs are actually a pain in the butt to pull out of a backpack so I've started putting it in a mesh bag so I can put it away easier.The Good: Everything else! This is a really great portable option with tons of versatility. Both heads work great and at a great price point.
"
96,"
For a tripod that doesn't move up and down like a traditional one it doesn't get better than this
"
